,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
509,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,23,1997,37.0,4,0.11,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
510,Dimitris Siovas\92d38e6c,gr GRE,DF,Huesca,31,1988,34.1,17,0.50,12,0,0,4,1,0,1,0.03,0,0,0,1,0,0,Matches
511,Antonio Sivera\9970da54,es ESP,GK,Alavés,23,1996,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
512,Rafa Soares\062fc2e6,pt POR,DF,Eibar,25,1995,12.6,20,1.59,16,4,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
513,Rubén Sobrino\19b776e9,es ESP,FWMF,Cádiz,28,1992,12.4,20,1.62,13,0,1,1,4,1,4,0.32,2,0,0,0,2,0,Matches
514,Rubén Sobrino\19b776e9,es ESP,MFFW,Valencia,28,1992,0.5,1,1.84,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
515,Augusto Solari\3ca6106c,ar ARG,MF,Celta Vigo,28,1992,5.4,13,2.41,12,1,0,0,0,0,2,0.37,2,0,0,0,0,0,Matches
516,Roberto Soldado\9d66fbe3,es ESP,FW,Granada,35,1985,16.0,21,1.31,13,0,0,4,3,1,2,0.13,0,0,0,1,1,0,Matches
517,Carlos Soler\fed17f5a,es ESP,MF,Valencia,23,1997,30.4,74,2.44,31,33,4,2,4,0,13,0.43,3,7,1,1,1,0,Matches
518,Son\037dbd30,es ESP,DFMF,Levante,26,1994,12.3,34,2.77,27,4,1,0,2,0,1,0.08,0,1,0,0,0,0,Matches
519,David Soria\8f8c6934,es ESP,GK,Getafe,27,1993,28.0,6,0.21,5,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
520,Alberto Soro\452c3055,es ESP,FWMF,Granada,21,1999,4.4,9,2.06,7,0,1,1,0,0,2,0.46,2,0,0,0,0,0,Matches
521,Hugo Sotelo\3aa74860,es ESP,MF,Celta Vigo,16,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
522,Damián Suárez\ba5004e1,uy URU,DF,Getafe,32,1988,27.0,36,1.33,21,8,1,1,4,1,2,0.07,1,0,1,0,0,0,Matches
523,Denis Suárez\12c50af5,es ESP,MF,Celta Vigo,26,1994,31.7,78,2.46,48,22,2,2,3,1,15,0.47,11,4,0,0,0,0,Matches
524,Luis Suárez\a6154613,uy URU,FW,Atlético Madrid,33,1987,27.9,66,2.37,41,2,4,10,8,1,10,0.36,4,0,1,1,3,1,Matches
