,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
15,Carles Aleñá\6c811eb7,es ESP,MFFW,Getafe,22,1998,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0,Matches
16,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,22,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Alfon\1c772b46,es ESP,MF,Celta Vigo,21,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,28,1992,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0,Matches
19,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,25,1995,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Jon Ander Garrido\c46736ab,es ESP,MF,Cádiz,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,Matches
22,Ángel\b1e5bbec,es ESP,GK,Granada,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Miguel Ángel Rubio\56cafd0a,es ESP,DF,Valladolid,22,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,José Ángel\3024e383,es ESP,DF,Eibar,30,1989,10.0,15,1.50,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,José Antonio Miranda\683788fd,gq EQG,MFDF,Getafe,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
26,Aritz Arambarri\f28876e5,es ESP,DF,Real Sociedad,22,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Mauro Arambarri\58afe001,uy URU,MF,Getafe,24,1995,33.1,54,1.63,28,12,3,3,6,2,2,0.06,1,0,0,1,0,0,Matches
28,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,28,1991,27.0,8,0.30,8,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
29,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,21,1999,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0,Matches
30,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,33,1987,31.2,30,0.96,17,4,4,2,0,3,3,0.10,1,0,1,1,0,0,Matches
31,Unai Arietaleanizbeaskoa\74d9a90b,es ESP,FWMF,Eibar,21,1999,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Sergio Arribas\1e465e70,es ESP,FWDF,Real Madrid,18,2001,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0,Matches
33,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,31,1989,36.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
34,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,24,1996,20.8,71,3.42,46,10,6,4,3,2,8,0.39,5,1,1,1,0,0,Matches
35,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,32,1987,31.8,115,3.61,91,3,12,6,3,0,26,0.82,19,1,4,1,1,0,Matches
36,Miguel Atienza\12eda7be,es ESP,MF,Eibar,21,1999,9.3,7,0.75,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
37,Ezequiel Ávila\253a06b9,ar ARG,MFFW,Osasuna,26,1994,2.2,3,1.34,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Ramon Azeez\0cc474e7,ng NGA,MFDF,Granada,27,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
39,Carlos Bacca\09a9e921,co COL,FW,Villarreal,33,1986,8.7,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0,Matches
40,Édgar Badía\e4346678,es ESP,GK,Elche,28,1992,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Alex Baena\518f2234,es ESP,MF,Villarreal,19,2001,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Miguel Baeza\a98f3cbf,es ESP,MFFW,Celta Vigo,20,2000,6.0,14,2.32,8,2,0,2,1,1,0,0.00,0,0,0,0,0,0,Matches
43,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,32,1988,18.8,13,0.69,10,1,0,0,1,1,2,0.11,2,0,0,0,0,0,Matches
44,Barcia\0c717ae6,es ESP,DF,Granada,19,2000,1.0,1,1.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
45,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,25,1995,18.7,51,2.73,37,7,5,1,1,0,6,0.32,5,1,0,0,0,0,Matches
46,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,23,1997,15.9,34,2.14,25,1,4,3,1,0,4,0.25,3,0,0,0,1,0,Matches
47,Marc Baró\74aa6ab7,es ESP,DF,Cádiz,20,1999,1.0,3,3.00,0,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Antonio Barragán\487d9b09,es ESP,DF,Elche,33,1987,24.8,21,0.85,15,2,1,1,2,0,6,0.24,3,1,1,0,1,0,Matches
49,Ander Barrenetxea\200e89e1,es ESP,MFFW,Real Sociedad,18,2001,14.5,31,2.13,25,0,2,2,1,1,4,0.28,4,0,0,0,0,0,Matches
50,Marc Bartra\b742cc0d,es ESP,DF,Betis,29,1991,18.8,7,0.37,6,0,0,0,0,1,1,0.05,1,0,0,0,0,0,Matches
51,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,16,2004,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Rodrigo Battaglia\d637fc22,ar ARG,MF,Alavés,29,1991,27.7,18,0.65,10,0,0,4,2,2,1,0.04,1,0,0,0,0,0,Matches
53,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,25,1995,4.1,9,2.19,7,0,0,2,0,0,1,0.24,1,0,0,0,0,0,Matches
54,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,21,1999,15.5,23,1.48,19,1,2,1,0,0,1,0.06,1,0,0,0,0,0,Matches
55,Sergio Benito\608bcb88,es ESP,FW,Valladolid,21,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,32,1987,32.2,99,3.08,76,0,10,10,2,1,17,0.53,14,0,2,1,0,0,Matches
57,Yuri Berchiche\b6e50615,es ESP,DF,Athletic Club,30,1990,18.7,42,2.25,35,1,2,0,3,1,6,0.32,5,0,0,0,1,0,Matches
58,Álex Berenguer\dc1c2fce,es ESP,MFFW,Athletic Club,25,1995,25.3,80,3.16,53,14,5,1,5,2,13,0.51,8,1,1,0,1,2,Matches
59,Pedro Bigas\697295b1,es ESP,DF,Eibar,29,1990,17.0,8,0.47,5,1,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
60,Blanco\506daeac,es ESP,MFDF,Real Madrid,20,2000,2.4,5,2.05,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Alejandro Blanco\c4dce677,es ESP,MF,Valencia,21,1998,6.4,11,1.71,10,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Rubén Blanco\967f34d3,es ESP,GK,Celta Vigo,25,1995,18.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Alejandro Blesa\d2ed99b4,es ESP,MF,Levante,18,2002,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Yann Bodiger\8c2c48a9,fr FRA,MF,Cádiz,25,1995,2.8,6,2.15,2,0,0,0,2,2,0,0.00,0,0,0,0,0,0,Matches
65,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,29,1991,33.0,4,0.12,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,24,1996,29.9,39,1.30,24,0,5,2,6,2,4,0.13,3,0,1,0,0,0,Matches
67,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,29,1991,13.1,23,1.76,17,0,1,1,3,1,4,0.31,2,0,0,1,0,1,Matches
68,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,28,1992,10.1,17,1.68,15,0,0,1,1,0,1,0.10,1,0,0,0,0,0,Matches
69,Álvaro Bravo\b3f97139,es ESP,MF,Granada,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Claudio Bravo\10072610,cl CHI,GK,Betis,37,1983,20.0,5,0.25,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,22,1997,14.7,4,0.27,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
72,Juan Brunet\c960cfdb,ar ARG,MF,Granada,22,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Bryan\7b5ab7f2,es ESP,MFFW,Eibar,19,2001,25.2,98,3.89,64,13,14,3,3,1,8,0.32,5,1,2,0,0,0,Matches
74,Bryan\7b5ab7f2,es ESP,FW,Sevilla,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,29,1991,18.1,24,1.33,15,0,2,4,2,1,1,0.06,0,0,0,1,0,0,Matches
76,Esteban Burgos\40449bbd,ar ARG,DF,Eibar,28,1992,12.3,7,0.57,6,0,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches
77,Burgui\45e304c8,es ESP,MF,Alavés,26,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,32,1988,28.0,68,2.43,61,2,0,0,3,2,10,0.36,10,0,0,0,0,0,Matches
79,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,25,1995,14.7,6,0.41,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
80,Cala\fe05804b,es ESP,DF,Cádiz,30,1989,25.2,10,0.40,5,0,1,1,2,1,1,0.04,0,0,0,0,1,0,Matches
81,Jonathan Calleri\6922f806,ar ARG,FW,Osasuna,26,1993,17.2,24,1.40,17,0,2,3,1,1,6,0.35,4,0,1,1,0,0,Matches
82,Dani Calvo\dd672e1f,es ESP,DF,Elche,26,1994,19.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,José Campaña\61220da2,es ESP,MF,Levante,27,1993,8.3,22,2.65,13,7,1,1,0,0,2,0.24,1,0,1,0,0,0,Matches
84,Sergio Canales\a6de370d,es ESP,MFFW,Betis,29,1991,27.8,107,3.86,80,16,4,5,2,0,13,0.47,9,2,1,1,0,0,Matches
85,Álex Cantero\4aa253fd,es ESP,FW,Levante,20,2000,2.6,6,2.28,5,0,1,0,0,0,1,0.38,1,0,0,0,0,0,Matches
86,Ander Capa\37f1cf47,es ESP,DF,Athletic Club,28,1992,23.7,36,1.52,30,2,1,2,0,1,3,0.13,2,0,0,1,0,0,Matches
87,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,32,1988,13.2,9,0.68,6,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
88,Isaac Carcelen\c4b888df,es ESP,DF,Cádiz,27,1993,28.7,32,1.12,22,8,0,1,1,0,3,0.10,3,0,0,0,0,0,Matches
89,Cárdenas\e1846dde,es ESP,GK,Levante,23,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Marc Cardona\b92b456a,es ESP,FWMF,Osasuna,25,1995,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,27,1993,31.0,15,0.48,12,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
92,Juan Carlos\82803509,es ESP,MFFW,Huesca,29,1991,3.2,10,3.09,8,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches
93,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,26,1993,24.2,88,3.63,53,14,14,4,3,0,17,0.70,10,4,3,0,0,0,Matches
94,Sergio Carreira\8d6a9c93,es ESP,DF,Celta Vigo,19,2000,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
95,Guido Carrillo\8f898ba8,ar ARG,FW,Elche,29,1991,11.1,17,1.53,16,0,1,0,0,0,3,0.27,3,0,0,0,0,0,Matches
96,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,28,1992,10.6,18,1.71,14,0,1,2,0,1,5,0.47,4,0,0,1,0,0,Matches
97,William Carvalho\dee86451,pt POR,MF,Betis,28,1992,13.6,20,1.47,16,0,1,2,1,0,2,0.15,1,0,0,1,0,0,Matches
98,Casemiro\4d224fe8,br BRA,MF,Real Madrid,28,1992,32.2,53,1.64,44,1,0,2,3,3,8,0.25,7,0,0,1,0,0,Matches
99,Sofian Chakla\37f04799,ma MAR,DF,Getafe,26,1993,10.0,2,0.20,2,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
100,Sofian Chakla\37f04799,ma MAR,DF,Villarreal,26,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
101,Chema\7f203b54,es ESP,DFMF,Getafe,28,1992,6.2,1,0.16,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,29,1990,12.2,26,2.13,19,1,2,0,2,2,4,0.33,4,0,0,0,0,0,Matches
103,Samuel Chukwueze\b8a642fc,ng NGA,MFFW,Villarreal,21,1999,15.2,57,3.76,38,1,8,0,10,0,5,0.33,3,0,1,0,1,0,Matches
104,Víctor Chust\ec1a731e,es ESP,DF,Real Madrid,20,2000,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Cifu\90f83973,es ESP,DF,Elche,29,1990,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
106,Alberto Cifuentes\94084f83,es ESP,GK,Cádiz,41,1979,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,31,1989,10.0,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Carlos Clerc\33a61a52,es ESP,DF,Levante,28,1992,30.9,42,1.36,33,6,0,1,2,0,5,0.16,4,1,0,0,0,0,Matches
109,Coke\6d8f8441,es ESP,DF,Levante,33,1987,9.3,9,0.97,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,29,1991,8.2,9,1.10,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
111,Iñigo Córdoba\49ea92be,es ESP,FWMF,Athletic Club,23,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Iñigo Córdoba\49ea92be,es ESP,MF,Alavés,23,1997,2.4,5,2.08,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
113,Ángel Correa\01eb744d,ar ARG,FWMF,Atlético Madrid,25,1995,26.6,80,3.01,56,2,12,5,3,2,16,0.60,11,0,4,0,1,0,Matches
114,Rober Correa\46bd3a5b,es ESP,DF,Eibar,27,1992,12.6,16,1.27,11,2,0,0,2,1,2,0.16,1,0,0,0,1,0,Matches
115,Thierry Correia\c78b352d,pt POR,DF,Valencia,21,1999,23.7,31,1.31,24,0,1,1,2,3,2,0.08,1,0,1,0,0,0,Matches
116,Diego Costa\a190d597,es ESP,FW,Atlético Madrid,31,1988,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0,Matches
117,Jaume Costa\808d48f3,es ESP,DFMF,Villarreal,32,1988,3.9,7,1.79,6,0,0,0,1,0,1,0.26,1,0,0,0,0,0,Matches
118,Thibaut Courtois\1840e36d,be BEL,GK,Real Madrid,28,1992,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Philippe Coutinho\0ef89a37,br BRA,MFFW,Barcelona,28,1992,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0,Matches
120,Juan Cruz Armada\a56da3ba,es ESP,DF,Osasuna,28,1992,21.8,18,0.83,16,2,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
121,Sergio Cubero Ezcurra\d858d079,es ESP,MF,Eibar,20,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Cucho\71b47ab9,co COL,FWMF,Getafe,21,1999,16.3,35,2.15,29,0,2,1,3,0,5,0.31,5,0,0,0,0,0,Matches
123,Marc Cucurella\1daec722,es ESP,MF,Getafe,22,1998,36.0,80,2.22,63,4,2,0,9,2,5,0.14,3,0,1,0,0,1,Matches
124,Patrick Cutrone\a4fe8cda,it ITA,FW,Valencia,22,1998,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,Moussa Dembélé\e7986081,fr FRA,FWMF,Atlético Madrid,24,1996,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,23,1997,19.7,82,4.16,55,9,10,6,2,0,9,0.46,6,0,1,2,0,0,Matches
127,Sergiño Dest\5976f83e,us USA,DF,Barcelona,19,2000,21.2,38,1.79,34,1,2,1,0,0,1,0.05,1,0,0,0,0,0,Matches
128,Deyverson\2e5e846d,br BRA,FW,Alavés,29,1991,9.7,17,1.75,13,0,0,1,3,0,4,0.41,2,0,0,1,1,0,Matches
129,Abdoulay Diaby\23c5db70,ml MLI,MF,Getafe,29,1991,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0,Matches
130,Mouctar Diakhaby\d2110326,fr FRA,DF,Valencia,23,1996,23.1,5,0.22,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Víctor Díaz\3624ce4c,es ESP,DF,Granada,32,1988,9.2,11,1.20,7,3,0,1,0,0,3,0.33,2,0,0,1,0,0,Matches
132,Papakouli Diop\7329018e,sn SEN,MF,Eibar,34,1986,25.8,31,1.20,23,2,1,1,2,2,1,0.04,1,0,0,0,0,0,Matches
133,Djené\a4971d84,tg TOG,DF,Getafe,28,1991,32.7,14,0.43,10,0,1,0,2,1,4,0.12,2,0,1,0,1,0,Matches
134,Marko Dmitrović\ac295d9e,rs SRB,GK,Eibar,28,1992,34.7,7,0.20,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,29,1990,28.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,19,2001,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
137,John Donald\5e95c000,es ESP,DFFW,Elche,19,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
138,Cheick Doukouré\e208bcc8,ci CIV,MF,Levante,27,1992,1.1,1,0.89,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
139,Idrissa Doumbia\685857dc,ci CIV,MF,Huesca,22,1998,8.7,9,1.04,7,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
140,Domingos Duarte\93090f69,pt POR,DF,Granada,25,1995,26.3,11,0.42,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,31,1989,22.9,10,0.44,8,1,0,1,0,0,1,0.04,1,0,0,0,0,0,Matches
142,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,24,1995,28.3,48,1.70,31,15,0,1,1,0,3,0.11,3,0,0,0,0,0,Matches
143,Unai Dufur\c261b5dd,es ESP,DF,Eibar,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Hugo Duro\37e103f8,es ESP,FW,Real Madrid,20,1999,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,26,1994,20.9,15,0.72,14,0,0,1,0,0,2,0.10,1,0,0,1,0,0,Matches
146,Rodrigo Ely\fd47b4f2,br BRA,DF,Alavés,26,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Emerson\df8b52a5,br BRA,DF,Betis,21,1999,33.2,64,1.93,53,6,1,0,3,1,5,0.15,4,0,0,0,1,0,Matches
148,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,23,1997,25.7,37,1.44,22,0,4,5,3,3,8,0.31,2,0,2,1,2,1,Matches
149,Sergi Enrich\bb4b1242,es ESP,FW,Eibar,30,1990,15.6,32,2.05,21,0,0,8,1,2,3,0.19,1,0,0,2,0,0,Matches
150,Aarón Escandell\67669ce7,es ESP,GK,Granada,24,1995,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
151,Dani Escriche\5a36f180,es ESP,FWMF,Huesca,22,1998,9.5,23,2.42,17,0,2,0,3,1,3,0.32,2,0,1,0,0,0,Matches
152,Sergio Escudero\b0616e3d,es ESP,DF,Sevilla,30,1989,6.3,11,1.75,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
153,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,28,1992,28.9,22,0.76,16,4,1,0,0,1,5,0.17,4,0,1,0,0,0,Matches
154,Vicente Esquerdo\ced26057,es ESP,MF,Valencia,21,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
155,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,22,1998,13.0,28,2.16,24,0,1,1,2,0,3,0.23,2,0,0,0,1,0,Matches
156,Xabier Etxeita\4a895384,es ESP,DF,Getafe,32,1987,9.8,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Edu Expósito\283c7121,es ESP,MF,Eibar,23,1996,27.3,84,3.08,48,17,7,3,6,3,5,0.18,4,0,0,1,0,0,Matches
158,Jokin Ezkieta\0f7dbaf6,es ESP,GK,Athletic Club,23,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
159,Fali\72a84002,es ESP,DFMF,Cádiz,26,1993,29.3,20,0.68,15,0,2,2,1,0,3,0.10,1,0,1,1,0,0,Matches
160,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,17,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,Matches
161,Nabil Fekir\bece776f,fr FRA,MFFW,Betis,27,1993,29.1,138,4.74,78,18,18,7,16,1,17,0.58,9,3,3,0,2,0,Matches
162,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,31,1989,22.9,8,0.35,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
163,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,20,1999,17.5,46,2.63,33,0,5,4,4,0,10,0.57,7,0,1,1,1,0,Matches
164,Aitor Fernández\a01c3d54,es ESP,GK,Levante,29,1991,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
165,Álex Fernández\aa677a35,es ESP,MF,Cádiz,27,1992,21.6,40,1.85,19,20,0,0,1,0,4,0.18,3,1,0,0,0,0,Matches
166,Álvaro Fernández\f127d782,es ESP,GK,Huesca,22,1998,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
167,Andrés Fernández\307fcd26,es ESP,GK,Huesca,33,1986,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
168,Augusto Fernández\78c40e94,ar ARG,MF,Cádiz,34,1986,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
169,Carlos Fernández\e08647d6,es ESP,FWMF,Real Sociedad,24,1996,4.3,11,2.54,8,0,0,1,2,0,3,0.69,2,0,0,1,0,0,Matches
170,Carlos Fernández\e08647d6,es ESP,FW,Sevilla,24,1996,1.6,5,3.15,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
171,Joaquín Fernández\b86a64b2,es ESP,DF,Valladolid,24,1996,23.0,12,0.52,9,0,0,2,1,0,3,0.13,1,0,0,1,1,0,Matches
172,Fernando\41f32541,br BRA,MF,Sevilla,33,1987,28.3,36,1.27,33,1,1,0,0,1,10,0.35,9,0,1,0,0,0,Matches
173,David Ferreiro\8970907e,es ESP,MFFW,Huesca,32,1988,28.1,106,3.78,61,33,5,2,5,0,11,0.39,8,2,0,1,0,0,Matches
174,Facundo Ferreyra\b39a793e,ar ARG,FW,Celta Vigo,29,1991,3.3,2,0.60,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
175,Fidel\eb82b6f1,es ESP,MFDF,Elche,30,1989,26.6,72,2.70,38,25,4,1,4,0,6,0.23,4,2,0,0,0,0,Matches
176,Junior Firpo\24f59bb2,es ESP,DF,Barcelona,23,1996,3.2,8,2.49,6,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches
177,Kingsley Fobi\954c26c9,gh GHA,DF,Granada,21,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Ramón Folch\dc56efc9,es ESP,MF,Elche,30,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
179,José Fontán\1827a42d,es ESP,DF,Celta Vigo,20,2000,7.2,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
180,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,27,1993,29.6,23,0.78,18,2,0,1,2,0,5,0.17,4,0,0,1,0,0,Matches
181,Juan Foyth\6c7762c3,ar ARG,DFMF,Villarreal,22,1998,13.0,11,0.85,10,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
182,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,23,1997,24.3,73,3.01,49,7,4,1,7,5,16,0.66,10,1,1,0,2,2,Matches
183,Ramiro Funes Mori\89cbc961,ar ARG,DF,Villarreal,29,1991,8.1,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
184,Javi Galán\a4b00319,es ESP,DF,Huesca,25,1994,34.1,69,2.03,51,9,3,0,6,0,7,0.21,4,3,0,0,0,0,Matches
185,Enric Gallego\82e9b89d,es ESP,FW,Osasuna,33,1986,9.0,16,1.79,13,0,0,1,2,0,3,0.33,2,0,0,1,0,0,Matches
