,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
24,José Ángel\3024e383,es ESP,DF,Eibar,30,1989,14,11,901,10.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.08,0.08,0.00,0.08,Matches
25,José Antonio Miranda\683788fd,gq EQG,MFDF,Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.69,0.00,0.69,0.69,0.69,Matches
26,Aritz Arambarri\f28876e5,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.50,0.00,0.50,0.50,0.50,Matches
27,Mauro Arambarri\58afe001,uy URU,MF,Getafe,24,1995,34,33,2983,33.1,3,0,3,0,0,11,0,0.09,0.00,0.09,0.09,0.09,2.2,2.2,2.1,4.3,0.07,0.06,0.13,0.07,0.13,Matches
28,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,28,1991,33,26,2426,27.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.01,0.02,0.04,0.01,0.04,Matches
29,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,21,1999,24,16,1510,16.8,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.6,1.6,0.1,1.7,0.09,0.01,0.10,0.09,0.10,Matches
30,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,33,1987,34,30,2807,31.2,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,1.2,1.2,0.9,2.1,0.04,0.03,0.07,0.04,0.07,Matches
31,Unai Arietaleanizbeaskoa\74d9a90b,es ESP,FWMF,Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
32,Sergio Arribas\1e465e70,es ESP,FWDF,Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
33,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,31,1989,36,36,3240,36.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
34,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,24,1996,35,21,1869,20.8,5,2,5,0,0,1,0,0.24,0.10,0.34,0.24,0.34,4.8,4.8,3.0,7.8,0.23,0.15,0.38,0.23,0.38,Matches
35,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,32,1987,33,33,2864,31.8,14,13,9,5,5,9,0,0.44,0.41,0.85,0.28,0.69,12.5,8.7,8.3,17.0,0.39,0.26,0.65,0.27,0.54,Matches
36,Miguel Atienza\12eda7be,es ESP,MF,Eibar,21,1999,12,9,838,9.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.02,0.02,0.04,0.02,0.04,Matches
37,Ezequiel Ávila\253a06b9,ar ARG,MFFW,Osasuna,26,1994,8,2,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.31,0.00,0.31,0.31,0.31,Matches
38,Ramon Azeez\0cc474e7,ng NGA,MFDF,Granada,27,1992,2,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.15,0.00,0.15,0.15,0.15,Matches
39,Carlos Bacca\09a9e921,co COL,FW,Villarreal,33,1986,23,9,786,8.7,5,0,5,0,0,1,0,0.57,0.00,0.57,0.57,0.57,3.5,3.5,0.9,4.4,0.40,0.11,0.50,0.40,0.50,Matches
40,Édgar Badía\e4346678,es ESP,GK,Elche,28,1992,30,30,2700,30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,Alex Baena\518f2234,es ESP,MF,Villarreal,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.05,0.09,0.05,0.09,Matches
42,Miguel Baeza\a98f3cbf,es ESP,MFFW,Celta Vigo,20,2000,22,4,543,6.0,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.5,1.5,0.6,2.2,0.26,0.10,0.36,0.26,0.36,Matches
