Player,"Salary"
Joshua Onomah,"3,120,000"
Kelechi Iheanacho,"3,120,000"
Wes Morgan,"3,120,000"
Ben Davies,"3,120,000"
Divock Origi,"3,120,000"
Konstantinos Tsimikas,"3,120,000"
Shane Long ,"3,120,000"
Nathan Redmond,"3,120,000"
Jannik Vestergaard,"3,120,000"
Bruno Martins Indi,"3,120,000"
Ben Davies,"3,120,000"
Danny Rose,"3,120,000"
Daniel Podence,"3,120,000"
Reece James,"3,016,000"
Tammy Abraham,"3,000,000"
Rodrigo Machado,"3,000,000"
Emil Krafth,"3,000,000"
Jeffrey Schlupp,"2,912,000"
Bjorn Engels,"2,860,000"
Ben Mee,"2,860,000"
James McArthur,"2,860,000"
Luka Milivojevic,"2,860,000"
Andros Townsend,"2,860,000"
Patrick Van Aanholt,"2,860,000"
Niels Nkounkou,"2,860,000"
Nampalys Mendy,"2,860,000"
Ibrahima Diallo,"2,860,000"
Moussa Djenepo,"2,860,000"
Ryan Shawcross,"2,860,000"
Kieran Gibbs,"2,860,000"
Ruben Loftus-Cheek ,"2,808,000"
Mohamed Elneny,"2,730,000"
Rob Holding,"2,704,000"
Edouard Mendy,"2,704,000"
Dani Ceballos,"2,700,000"
Joe Hart,"2,700,000"
Jefferson Lerma,"2,600,000"
Calum Chambers,"2,600,000"
Gabriel Magalhães,"2,600,000"
Reiss Nelson,"2,600,000"
Pascal Gross,"2,600,000"
Alireza Jahanbakhsh,"2,600,000"
Neal Maupay,"2,600,000"
Adam Webster,"2,600,000"
Danny Welbeck,"2,600,000"
James Tarkowski,"2,600,000"
Chris Wood,"2,600,000"
James McCarthy,"2,600,000"
James Tomkins,"2,600,000"
Alex Iwobi,"2,600,000"
Michael Hector,"2,600,000"
Christian Fuchs,"2,600,000"
Andrew Robertson,"2,600,000"
Adrian San Miguel del Castillo,"2,600,000"
Axel Tuanzebe,"2,600,000"
Phil Jagielka,"2,600,000"
Alex McCarthy,"2,600,000"
Joe Allen,"2,600,000"
Giannelli Imbula,"2,600,000"
Sam Clucas,"2,600,000"
Harry Winks,"2,600,000"
Tom Cleverley,"2,600,000"
Aaron Cresswell,"2,600,000"
Mark Noble,"2,600,000"
Pedro Neto,"2,600,000"
Ruben Neves,"2,600,000"
Roque Mesa,"2,548,000"
Erik Pieters,"2,500,000"
Sergio Reguilón,"2,500,000"
Jack Stephens,"2,496,000"
Federico Fernandez,"2,459,600"
Emiliano Martinez,"2,444,000"
Robin Koch,"2,400,000"
Ferran Torres,"2,400,000"
Callum Wilson,"2,400,000"
Zack Steffen,"2,392,000"
Jake Livermore,"2,392,000"
Steve Cook,"2,340,000"
Edward Nketiah,"2,340,000"
Keinan Davis,"2,340,000"
Lewis Dunk,"2,340,000"
Jose Izquierdo,"2,340,000"
Davy Propper,"2,340,000"
Joshua King,"2,340,000"
Fabricio Agosto Ramírez,"2,340,000"
Bobby Reid,"2,340,000"
Marc Albrighton,"2,340,000"
Ayoze Perez,"2,340,000"
Caglar Soyuncu,"2,340,000"
Daniel James,"2,340,000"
Matt Ritchie,"2,340,000"
Roberto Pereyra,"2,340,000"
Sebastian Prodl,"2,340,000"
Jack Butland,"2,288,000"
James Ward-Prowse,"2,253,333"
Billy Gilmour,"2,250,000"
Adama Traore,"2,236,000"
Miguel Almiron,"2,201,000"
Harry Lewis,"2,200,000"
Tom Heaton,"2,184,000"
Ryan Fraser,"2,173,600"
Raul Jimenez,"2,144,000"
Jeff Hendrick,"2,100,000"
Darren Randolph,"2,100,000"
Ki-Jana Hoever,"2,100,000"
Harry Arter,"2,080,000"
Rúnar Alex Rúnarsson,"2,080,000"
William Saliba,"2,080,000"
Florin Andone,"2,080,000"
Ashley Barnes,"2,080,000"
Josh Brownhill,"2,080,000"
Kurt Zouma,"2,080,000"
Wayne Hennessey,"2,080,000"
Tom Cairney,"2,080,000"
Dwight Gayle,"2,080,000"
Jamaal Lascelles,"2,080,000"
Fabian Schar,"2,080,000"
Angus Gunn ,"2,080,000"
Étienne Capoue,"2,080,000"
Robert Snodgrass,"2,080,000"
Fabian Balbuena,"2,080,000"
Ryan Fredericks,"2,080,000"
Arthur Masuaku,"2,080,000"
Joel Veltman,"2,000,000"
Jamal Lewis,"2,000,000"
Allan Saint-Maximin,"2,000,000"
Branislav Ivanovic,"2,000,000"
Jack Cork,"1,976,000"
Philippe Sandler,"1,976,000"
Martin Dubravka,"1,976,000"
Jonny Castro,"1,907,000"
Jonny Otto,"1,907,000"
Rayan Aït Nouri,"1,900,000"
Lewis Cook,"1,820,000"
Dan Gosling,"1,820,000"
Adam Smith,"1,820,000"
Junior Stanislas,"1,820,000"
Wesley Moraes,"1,820,000"
Matt Targett,"1,820,000"
Tariq Lamptey,"1,820,000"
Mathew Ryan ,"1,820,000"
Leandro Trossard,"1,820,000"
Robbie Brady,"1,820,000"
Nick Pope,"1,820,000"
Jay Rodriguez,"1,820,000"
Dale Stephens,"1,820,000"
Matej Vydra,"1,820,000"
Willy Caballero,"1,820,000"
Joel Ward,"1,820,000"
Steve Mounie,"1,820,000"
Patrick Bamford,"1,820,000"
Ciaran Clark,"1,820,000"
Paul Dummett,"1,820,000"
Javier Manquillo,"1,820,000"
Henri Saivet,"1,820,000"
Nathaniel Chalobah,"1,820,000"
Fernando Marçal,"1,820,000"
Youri Tielemans,"1,718,000"
Douglas Luiz,"1,709,396"
Sander Berge,"1,700,000"
Mahmoud Hassan,"1,690,000"
Marvelous Nakamba,"1,690,000"
Jordan Ayew,"1,690,000"
Helder Costa,"1,690,000"
Sam Johnstone,"1,690,000"
Kiko Casilla,"1,670,000"
Ashley Westwood,"1,612,000"
Anwar El Ghazi,"1,610,000"
Alexis Mac Allister,"1,600,000"
Vladimir Coufal,"1,600,000"
Bukayo Saka,"1,560,000"
Solly March,"1,560,000"
Johann Berg Gudmundsson,"1,560,000"
Alex Smithies,"1,560,000"
Eberech Eze,"1,560,000"
Adama Diakhaby,"1,560,000"
Alex Pritchard,"1,560,000"
Lee Grant,"1,560,000"
Christian Atsu,"1,560,000"
Sam Byram,"1,560,000"
Glenn Murray,"1,560,000"
Che Adams,"1,560,000"
Ben Foster,"1,560,000"
Will Hughes,"1,560,000"
Christian Kabasele,"1,560,000"
Isaac Success,"1,560,000"
Hal Robson-Kanu,"1,560,000"
Nathan Ferguson,"1,500,000"
Tyrick Mitchell,"1,500,000"
David McGoldrick,"1,500,000"
Junior Hoilett,"1,456,000"
Adam Masina,"1,456,000"
Rhian Brewster,"1,430,000"
William Troost-Ekong,"1,430,000"
Ramadan Sobhi,"1,404,000"
Ahmed Elmohamady,"1,300,000"
John McGinn,"1,300,000"
Jota Peleteiro,"1,300,000"
Pontus Jansson,"1,300,000"
David Raya,"1,300,000"
Yves Bissouma,"1,300,000"
Andi Zeqiri,"1,300,000"
Phil Bardsley,"1,300,000"
Matthew Lowton,"1,300,000"
Charlie Taylor,"1,300,000"
Sean Morrison,"1,300,000"
Josh Murphy,"1,300,000"
Isaiah Brown ,"1,300,000"
Martin Kelly,"1,300,000"
Tom Davies,"1,300,000"
Mason Holgate,"1,300,000"
Elias Kachunga,"1,300,000"
Christopher Schindler,"1,300,000"
Neco Williams,"1,300,000"
Scott Carson ,"1,300,000"
Karl Darlow,"1,300,000"
Jacob Murphy,"1,300,000"
Todd Cantwell,"1,300,000"
Grant Hanley,"1,300,000"
Tim Krul,"1,300,000"
Kenny McLean,"1,300,000"
Teemu Pukki,"1,300,000"
Lys Mousset,"1,300,000"
Kamil Grosicki,"1,300,000"
Joe Ralls,"1,275,000"
