,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
163,Tyrese Francois\6722d4f0,au AUS,DF,Fulham,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
164,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,38,3.69,23,13,0,1,1,0,4,0.39,2,1,0,0,1,0,Matches
165,Fred\b853e0ad,br BRA,MF,Manchester Utd,27,1993,26.6,67,2.52,58,1,2,1,2,3,5,0.19,4,0,0,0,0,1,Matches
166,Ryan Fredericks\c067631c,eng ENG,DFFW,West Ham,27,1992,6.3,21,3.32,16,0,1,1,1,2,1,0.16,1,0,0,0,0,0,Matches
167,Christian Fuchs\a67a09fb,at AUT,DF,Leicester City,34,1986,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
168,Darnell Furlong\3ec9195b,eng ENG,DF,West Brom,24,1995,32.6,34,1.04,24,5,0,3,2,0,3,0.09,3,0,0,0,0,0,Matches
169,Conor Gallagher\c2731c10,eng ENG,MF,West Brom,20,2000,28.1,41,1.46,24,7,3,1,5,1,3,0.11,2,1,0,0,0,0,Matches
170,Eric García\2bed3eab,es ESP,DF,Manchester City,19,2001,4.3,4,0.94,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
171,Dwight Gayle\e58a03c6,eng ENG,FWMF,Newcastle Utd,29,1990,5.7,13,2.28,8,2,0,2,1,0,1,0.18,1,0,0,0,0,0,Matches
172,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,24,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
173,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,29,1990,25.5,2,0.08,1,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
174,Anwar El Ghazi\ffa90327,nl NED,FW,Aston Villa,25,1995,17.9,55,3.07,30,9,4,6,6,0,1,0.06,0,0,0,1,0,0,Matches
175,Kieran Gibbs\46ee5234,eng ENG,DF,West Brom,30,1989,9.0,4,0.44,4,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
176,Morgan Gibbs-White\32f60ed8,eng ENG,MFFW,Wolves,20,2000,4.6,17,3.70,12,2,0,0,3,0,1,0.22,0,0,0,0,1,0,Matches
177,Billy Gilmour\df10e27c,sct SCO,MF,Chelsea,19,2001,2.9,4,1.38,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
178,Olivier Giroud\16ceb862,fr FRA,FW,Chelsea,33,1986,8.3,15,1.80,12,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
179,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,22,1998,29.8,10,0.34,7,0,0,2,1,0,2,0.07,1,0,0,1,0,0,Matches
180,André Gomes\1961b2aa,pt POR,MF,Everton,27,1993,17.4,35,2.01,31,2,1,0,0,1,2,0.11,2,0,0,0,0,0,Matches
181,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,23,1997,6.6,2,0.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
182,Anthony Gordon\2bd83368,eng ENG,FWMF,Everton,19,2001,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
183,Karlan Grant\87f7500e,eng ENG,FWMF,West Brom,22,1997,12.5,11,0.88,7,1,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches
184,Demarai Gray\4468ec10,eng ENG,FW,Leicester City,24,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Jack Grealish\b0b4fd3e,eng ENG,FWMF,Aston Villa,24,1995,24.3,150,6.18,114,14,8,2,11,1,21,0.86,17,0,0,0,3,1,Matches
186,Mason Greenwood\58eee997,eng ENG,FW,Manchester Utd,18,2001,20.2,50,2.47,29,1,8,7,4,1,5,0.25,3,0,2,0,0,0,Matches
187,Pascal Groß\8aec0537,de GER,MFDF,Brighton,29,1991,27.6,110,3.99,63,40,0,4,2,1,9,0.33,6,3,0,0,0,0,Matches
188,Kamil Grosicki\81d8091f,pl POL,FWMF,West Brom,32,1988,1.6,5,3.04,4,0,0,1,0,0,2,1.22,2,0,0,0,0,0,Matches
189,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,33,1987,37.0,2,0.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,29,1990,22.5,82,3.64,61,4,8,5,2,2,10,0.44,3,1,3,1,1,1,Matches
191,Antwoine Hackford\a7588cdc,eng ENG,FWDF,Sheffield Utd,16,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
192,Sébastien Haller\ba115a40,ci CIV,FW,West Ham,26,1994,10.4,17,1.63,13,0,1,0,3,0,0,0.00,0,0,0,0,0,0,Matches
193,Rekeem Harper\3c066877,eng ENG,MF,West Brom,20,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
194,Jack Harrison\aa849a12,eng ENG,MF,Leeds United,23,1996,31.6,104,3.29,88,5,5,2,2,2,15,0.47,11,1,2,0,0,1,Matches
195,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,25,1995,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
196,Kai Havertz\fed7cb61,de GER,MFFW,Chelsea,21,1999,16.9,47,2.78,38,0,3,2,3,1,8,0.47,5,0,0,1,2,0,Matches
197,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,25,1995,21.6,17,0.79,12,0,0,1,1,3,0,0.00,0,0,0,0,0,0,Matches
198,Michael Hector\5f1a2f31,jm JAM,DF,Fulham,28,1992,2.9,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
199,Ahmed Hegazi\5540c9dc,eg EGY,DF,West Brom,29,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
200,Dean Henderson\e5a76dfe,eng ENG,GK,Manchester Utd,23,1997,12.5,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
201,Jordan Henderson\935e6b8f,eng ENG,MFDF,Liverpool,30,1990,18.9,33,1.74,27,4,0,0,1,1,4,0.21,3,1,0,0,0,0,Matches
202,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,28,1992,15.8,14,0.89,12,0,0,1,1,0,2,0.13,2,0,0,0,0,0,Matches
203,Pablo Hernández\c0398aca,es ESP,MFFW,Leeds United,35,1985,4.7,20,4.22,15,0,1,3,0,1,3,0.63,3,0,0,0,0,0,Matches
204,Son Heung-min\92e7e919,kr KOR,FW,Tottenham,28,1992,34.6,117,3.38,74,28,8,1,6,0,15,0.43,11,2,2,0,0,0,Matches
205,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,18,2002,6.4,7,1.09,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
206,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,24,1995,28.4,12,0.42,11,0,0,0,0,1,3,0.11,3,0,0,0,0,0,Matches
207,Mason Holgate\d0042ab9,eng ENG,DF,Everton,23,1996,25.4,21,0.83,15,2,0,0,3,1,0,0.00,0,0,0,0,0,0,Matches
208,Conor Hourihane\fcab00a0,ie IRL,MF,Aston Villa,29,1991,2.5,8,3.20,4,4,0,0,0,0,1,0.40,0,1,0,0,0,0,Matches
209,Callum Hudson-Odoi\15f3ec41,eng ENG,FWDF,Chelsea,19,2000,11.8,57,4.84,54,0,2,0,1,0,8,0.68,7,0,1,0,0,0,Matches
210,Niall Huggins\6d646ff7,wls WAL,DF,Leeds United,19,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
211,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,24,1995,38.0,52,1.37,42,3,1,2,1,3,8,0.21,7,1,0,0,0,0,Matches
212,Odion Ighalo\03622183,ng NGA,FW,Manchester Utd,31,1989,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
213,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,23,1996,16.2,44,2.71,36,0,6,1,0,1,3,0.19,2,0,1,0,0,0,Matches
214,Danny Ings\07802f7f,eng ENG,FW,Southampton,28,1992,24.1,57,2.36,42,0,9,4,2,0,10,0.41,5,0,3,2,0,0,Matches
215,Branislav Ivanović\85f8571a,rs SRB,DF,West Brom,36,1984,8.5,1,0.12,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
216,Alex Iwobi\6ca5ec4b,ng NGA,FWDF,Everton,24,1996,17.1,46,2.68,40,0,2,2,1,1,5,0.29,5,0,0,0,0,0,Matches
217,José Izquierdo\ca2bc3df,co COL,DF,Brighton,28,1992,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
218,Phil Jagielka\3233eefd,eng ENG,DF,Sheffield Utd,37,1982,5.8,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
219,Alireza Jahanbakhsh\08452314,ir IRN,FWMF,Brighton,26,1993,5.9,20,3.41,17,0,1,1,1,0,1,0.17,1,0,0,0,0,0,Matches
220,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,22,1997,10.1,16,1.58,14,0,0,0,2,0,3,0.30,3,0,0,0,0,0,Matches
221,Reece James\1265a93a,eng ENG,DF,Chelsea,20,1999,26.4,74,2.81,54,9,3,1,5,2,5,0.19,3,1,0,0,1,0,Matches
222,Alexandre Jankewitz\7c39363f,ch SUI,MF,Southampton,18,2001,0.0,1,30.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
223,Daniel Jebbison\03edb878,eng ENG,FW,Sheffield Utd,17,2003,3.2,4,1.27,1,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
224,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,23,1997,22.9,71,3.10,48,0,7,7,8,1,11,0.48,9,0,1,1,0,0,Matches
225,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,29,1991,9.1,22,2.41,11,0,3,4,2,2,4,0.44,1,0,1,2,0,0,Matches
226,Joelinton\c17bfb65,br BRA,FWMF,Newcastle Utd,23,1996,22.0,52,2.36,31,0,6,2,10,3,8,0.36,3,0,2,1,2,0,Matches
227,Ben Johnson\9319781b,eng ENG,DF,West Ham,20,2000,5.8,5,0.86,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
228,Sam Johnstone\9e5708be,eng ENG,GK,West Brom,27,1993,37.0,3,0.08,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
229,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,19,2001,13.1,37,2.82,30,0,2,0,2,3,4,0.31,4,0,0,0,0,0,Matches
230,Jorginho\45db685d,it ITA,MF,Chelsea,28,1991,22.3,51,2.28,48,0,1,0,0,2,3,0.13,3,0,0,0,0,0,Matches
231,Willian José\d87e2cae,br BRA,FW,Wolves,28,1991,12.3,19,1.54,13,0,1,2,2,1,1,0.08,0,0,0,0,1,0,Matches
232,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,23,1996,12.4,34,2.75,20,0,2,5,5,2,3,0.24,1,0,1,0,1,0,Matches
233,James Justin\fb614c44,eng ENG,DF,Leicester City,22,1998,23.0,48,2.09,37,2,3,0,6,0,7,0.30,5,0,1,0,1,0,Matches
234,Ozan Kabak\2d61d13a,tr TUR,DF,Liverpool,20,2000,8.9,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
235,Aboubakar Kamara\4047c976,mr MTN,FWDF,Fulham,25,1995,3.5,10,2.86,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
236,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,27,1993,34.2,113,3.30,70,2,18,9,12,2,25,0.73,15,1,6,0,3,0,Matches
237,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,29,1991,23.8,47,1.97,42,0,2,1,0,2,1,0.04,1,0,0,0,0,0,Matches
238,Moise Kean\3d50bcdb,it ITA,FW,Everton,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
239,Michael Keane\c5b7c315,eng ENG,DF,Everton,27,1993,33.2,22,0.66,21,0,0,1,0,0,3,0.09,3,0,0,0,0,0,Matches
240,Neeskens Kebano\18b999f4,cd COD,FWMF,Fulham,28,1992,1.3,3,2.27,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
241,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,25,1995,5.8,15,2.60,12,0,1,2,0,0,1,0.17,1,0,0,0,0,0,Matches
242,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,21,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
243,Martin Kelly\d7492450,eng ENG,DF,Crystal Palace,30,1990,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
244,Jonjoe Kenny\099e666f,eng ENG,DFFW,Everton,23,1997,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
245,Reda Khadra\88acf83f,de GER,FW,Brighton,19,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
246,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,23,1997,14.6,7,0.48,5,0,0,0,0,2,1,0.07,1,0,0,0,0,0,Matches
247,Joshua King\43458538,no NOR,MFFW,Everton,28,1992,1.6,2,1.22,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
248,Mateusz Klich\282679b4,pl POL,MF,Leeds United,30,1990,26.6,97,3.65,81,7,2,5,2,0,13,0.49,11,1,1,0,0,0,Matches
249,Robin Koch\ea6bc03a,de GER,DFMF,Leeds United,24,1996,12.6,10,0.80,10,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
250,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,27,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
251,Terence Kongolo\1f9a3a04,nl NED,DF,Fulham,26,1994,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
252,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,22,1997,35.5,5,0.14,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
253,Cheikhou Kouyaté\8d3c902d,sn SEN,DF,Crystal Palace,30,1989,34.7,16,0.46,14,0,0,1,1,0,2,0.06,2,0,0,0,0,0,Matches
254,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,26,1994,20.2,49,2.43,42,0,2,1,3,1,4,0.20,4,0,0,0,0,0,Matches
255,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,25,1994,14.3,14,0.98,11,2,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches
256,Filip Krovinović\c2dfedeb,hr CRO,MF,West Brom,24,1995,6.1,17,2.80,10,3,3,0,1,0,1,0.16,1,0,0,0,0,0,Matches
257,Alexandre Lacazette\9dbb75ca,fr FRA,FW,Arsenal,29,1991,21.4,46,2.15,28,0,3,2,9,4,5,0.23,3,0,0,1,1,0,Matches
258,Adam Lallana\99813635,eng ENG,MFFW,Brighton,32,1988,17.7,48,2.71,44,0,0,1,2,1,4,0.23,3,0,0,1,0,0,Matches
259,Érik Lamela\abe66106,ar ARG,FWMF,Tottenham,28,1992,8.0,26,3.26,15,3,1,1,4,2,5,0.63,2,1,0,1,0,1,Matches
260,Tariq Lamptey\f4e433d4,eng ENG,DF,Brighton,19,2000,9.8,24,2.44,19,0,1,0,4,0,4,0.41,2,0,0,0,2,0,Matches
261,Manuel Lanzini\26f6dca8,ar ARG,MFFW,West Ham,27,1993,6.3,20,3.18,14,1,1,2,1,1,4,0.64,2,0,0,1,1,0,Matches
262,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,26,1994,14.9,9,0.60,9,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
263,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,26,1993,18.1,4,0.22,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
264,Maxime Le Marchand\321a71a7,fr FRA,DF,Fulham,30,1989,1.4,2,1.46,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
265,Mario Lemina\2b471f99,ga GAB,MF,Fulham,26,1993,18.9,25,1.32,17,0,5,1,1,1,2,0.11,0,0,0,0,1,1,Matches
266,Bernd Leno\2628fd2b,de GER,GK,Arsenal,28,1992,34.8,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
267,Khanya Leshabela\383e68b1,za RSA,MF,Leicester City,20,1999,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
268,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,22,1998,20.4,29,1.42,24,3,1,0,1,0,2,0.10,2,0,0,0,0,0,Matches
269,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,26,1994,28.7,9,0.31,9,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
270,Jesse Lingard\810e3c74,eng ENG,MFFW,West Ham,27,1992,15.8,61,3.86,42,6,2,5,6,0,11,0.70,6,2,0,2,1,0,Matches
271,Jake Livermore\b98570d1,eng ENG,MF,West Brom,30,1989,13.8,8,0.58,7,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
272,Diego Llorente\bba30585,es ESP,DF,Leeds United,26,1993,13.4,6,0.45,5,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
273,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,33,1986,38.0,1,0.03,1,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
274,Giovani Lo Celso\d7553721,ar ARG,MF,Tottenham,24,1996,10.5,30,2.86,21,3,0,1,4,1,3,0.29,3,0,0,0,0,0,Matches
275,Ruben Loftus-Cheek\e97fd090,eng ENG,MFFW,Fulham,24,1996,21.2,53,2.50,30,0,7,3,10,3,0,0.00,0,0,0,0,0,0,Matches
276,Ruben Loftus-Cheek\e97fd090,eng ENG,FW,Chelsea,24,1996,0.7,1,1.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
277,Kevin Long\5a4280b1,ie IRL,DF,Burnley,29,1990,7.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
278,Shane Long\9f472354,ie IRL,FW,Southampton,33,1987,2.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
279,Matthew Longstaff\c0027d2d,eng ENG,MF,Newcastle Utd,20,2000,4.2,2,0.48,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
280,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,22,1997,15.7,21,1.34,12,5,1,0,2,1,2,0.13,2,0,0,0,0,0,Matches
281,Ademola Lookman\7c104bb7,eng ENG,FWMF,Fulham,22,1997,30.5,115,3.77,74,25,5,6,4,1,11,0.36,6,3,2,0,0,0,Matches
282,Max Lowe\7af88b33,eng ENG,DF,Sheffield Utd,23,1997,6.1,7,1.15,4,1,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
283,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,31,1989,34.0,49,1.44,41,3,1,1,1,2,2,0.06,2,0,0,0,0,0,Matches
284,David Luiz\c0e27d1a,br BRA,DF,Arsenal,33,1987,15.5,10,0.64,8,0,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
285,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,22,1998,30.9,46,1.49,42,2,0,1,1,0,5,0.16,5,0,0,0,0,0,Matches
286,John Lundstram\0df2b165,eng ENG,MF,Sheffield Utd,26,1994,22.6,37,1.64,30,5,1,0,0,1,3,0.13,2,1,0,0,0,0,Matches
287,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,21,1998,12.4,30,2.42,27,0,0,2,1,0,2,0.16,2,0,0,0,0,0,Matches
288,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,23,1996,23.3,105,4.50,60,20,7,5,9,4,11,0.47,7,1,0,0,2,1,Matches
289,Harry Maguire\d8931174,eng ENG,DF,Manchester Utd,27,1993,33.9,31,0.92,23,0,1,4,1,2,6,0.18,4,0,0,1,0,1,Matches
290,Riyad Mahrez\892d5bb1,dz ALG,FW,Manchester City,29,1991,21.7,84,3.88,58,7,5,8,3,3,14,0.65,9,1,2,1,0,1,Matches
291,Ainsley Maitland-Niles\e3a5814e,eng ENG,MF,West Brom,22,1997,13.7,18,1.32,15,0,0,0,3,0,2,0.15,1,0,0,0,1,0,Matches
292,Ainsley Maitland-Niles\e3a5814e,eng ENG,DF,Arsenal,22,1997,5.4,11,2.02,7,1,2,0,1,0,1,0.18,0,0,0,0,1,0,Matches
293,Josh Maja\bc0bfc64,ng NGA,FWMF,Fulham,21,1998,9.0,18,2.00,12,0,4,2,0,0,0,0.00,0,0,0,0,0,0,Matches
294,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,28,1992,31.2,124,3.97,88,1,10,9,14,2,12,0.38,7,0,0,3,1,1,Matches
295,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,26,1994,9.2,8,0.87,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
296,Fernando Marçal\9ae9eaea,br BRA,DF,Wolves,31,1989,6.9,4,0.58,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
297,Solly March\bb5fbd2b,eng ENG,DF,Brighton,26,1994,18.6,52,2.80,39,7,4,2,0,0,3,0.16,2,1,0,0,0,0,Matches
298,Pablo Marí\aa54ec6f,es ESP,DF,Arsenal,26,1993,10.0,2,0.20,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
299,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,24,1995,16.4,43,2.61,28,0,3,4,7,1,8,0.49,2,0,0,2,4,0,Matches
300,Martinelli\48a5a5d6,br BRA,FW,Arsenal,19,2001,6.5,21,3.21,15,0,3,2,1,0,1,0.15,1,0,0,0,0,0,Matches
301,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,27,1992,38.0,6,0.16,6,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
302,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,26,1993,11.2,32,2.86,23,2,4,2,1,0,4,0.36,4,0,0,0,0,0,Matches
303,Juan Mata\29733c72,es ESP,FWMF,Manchester Utd,32,1988,5.7,18,3.18,12,4,0,2,0,0,5,0.88,3,1,0,1,0,0,Matches
304,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,23,1997,2.5,3,1.22,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
305,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,31,1988,12.3,20,1.63,18,0,0,2,0,0,3,0.24,3,0,0,0,0,0,Matches
306,Joël Matip\b217ef29,cm CMR,DF,Liverpool,28,1991,7.7,6,0.78,5,0,0,1,0,0,2,0.26,1,0,0,1,0,0,Matches
307,Neal Maupay\4bcf39f6,fr FRA,FWMF,Brighton,23,1996,27.9,79,2.83,52,1,10,5,8,3,8,0.29,5,0,0,1,2,0,Matches
308,James McArthur\cee31595,sct SCO,MF,Crystal Palace,32,1987,16.3,19,1.17,18,0,0,0,1,0,2,0.12,2,0,0,0,0,0,Matches
309,Oliver McBurnie\78b8ac63,sct SCO,FW,Sheffield Utd,24,1996,14.7,29,1.97,24,0,0,4,1,0,3,0.20,1,0,0,1,1,0,Matches
310,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,30,1989,30.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
311,James McCarthy\64b08de7,ie IRL,MF,Crystal Palace,29,1990,9.1,12,1.32,10,1,0,0,0,1,1,0.11,0,0,0,0,0,1,Matches
312,John McGinn\90f91999,sct SCO,MF,Aston Villa,25,1994,37.0,100,2.70,82,2,3,2,9,2,12,0.32,8,1,1,1,1,0,Matches
313,David McGoldrick\dbe56a33,ie IRL,FWMF,Sheffield Utd,32,1987,26.6,52,1.95,31,1,8,4,5,3,1,0.04,1,0,0,0,0,0,Matches
314,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,20,1999,34.1,80,2.35,42,27,2,1,6,2,9,0.26,4,3,1,0,0,1,Matches
315,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,23,1996,23.7,33,1.40,24,0,0,1,6,2,3,0.13,1,0,0,0,1,1,Matches
316,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,30,1989,29.9,11,0.37,6,2,0,2,1,0,1,0.03,1,0,0,0,0,0,Matches
317,Hannibal Mejbri\ca22ccb0,tn TUN,MF,Manchester Utd,17,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
318,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,26,1994,10.6,17,1.61,13,0,4,0,0,0,3,0.28,2,0,1,0,0,0,Matches
319,Edouard Mendy\33887998,sn SEN,GK,Chelsea,28,1992,30.5,3,0.10,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
320,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,28,1992,16.2,15,0.93,11,0,0,0,2,2,2,0.12,2,0,0,0,0,0,Matches
321,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,20,2000,35.0,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
322,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,29,1991,26.2,39,1.49,22,13,1,1,1,1,3,0.11,2,1,0,0,0,0,Matches
323,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,34,1986,11.9,22,1.85,17,3,1,0,0,1,1,0.08,0,1,0,0,0,0,Matches
324,Yerry Mina\6d5701f2,co COL,DF,Everton,25,1994,21.5,4,0.19,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
325,Takumi Minamino\f833a830,jp JPN,MFFW,Liverpool,25,1995,3.3,6,1.84,3,0,1,1,1,0,1,0.31,0,0,1,0,0,0,Matches
326,Takumi Minamino\f833a830,jp JPN,MFFW,Southampton,25,1995,7.9,11,1.39,8,0,0,1,2,0,1,0.13,1,0,0,0,0,0,Matches
327,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,27,1993,35.5,14,0.39,12,0,1,1,0,0,2,0.06,2,0,0,0,0,0,Matches
328,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,20,1999,19.0,9,0.47,9,0,0,0,0,0,3,0.16,3,0,0,0,0,0,Matches
329,Aleksandar Mitrović\3925dbd6,rs SRB,FW,Fulham,25,1994,15.6,47,3.02,36,1,5,1,2,2,5,0.32,3,0,1,1,0,0,Matches
330,Jakub Moder\f230bc30,pl POL,DFMF,Brighton,21,1999,7.2,11,1.53,7,1,1,1,0,1,1,0.14,1,0,0,0,0,0,Matches
